participant,age,IQ,backward_correct,flanker_correct,stroop_correct
adnm2,36,128,5,45,39
bjfc1,40,106,4,44,38
buzt0,30,139,5,49,39
bwat2,34,122,1,46,39
cbky9,49,128,4,48,40
cfug6,34,71,0,27,2
dhnz3,22,89,5,31,35
ejpg7,32,99,5,42,39
fesx6,33,112,4,45,38
fgrl2,54,125,1,35,39
fjfm3,35,124,5,46,37
hqlv9,43,84,4,48,40
iwzp1,42,68,3,45,38
jhoh9,48,118,4,48,40
keta9,27,114,0,43,39
kryd6,55,92,4,45,35
mnwx7,27,108,5,46,40
myyl9,27,107,1,38,38
nvko1,22,122,5,44,38
onbv9,50,97,3,42,38
ottj9,38,129,6,47,38
oucx8,47,104,0,29,39
phww7,42,104,3,42,40
pqvt6,29,111,0,48,38
qeiy3,56,90,0,42,34
qsry8,46,108,5,45,35
rdix8,38,86,0,39,35
ruvk3,35,125,3,46,38
tlit0,47,104,4,46,40
tyfi7,35,85,0,38,38
vqpg1,44,121,5,46,40
vvpq4,32,115,0,28,40
wbje4,40,123,4,38,40
wldp0,32,97,4,45,40
wyks1,37,111,4,49,40
yrtb9,30,124,4,46,38
bi_ajli0,35,95,4,45,38
bi_dckv1,30,104,4,49,38
bi_dvyf7,58,104,5,37,39
bi_evur7,42,94,0,40,34
bi_giah0,23,101,5,44,39
bi_igsy3,50,115,6,49,39
bi_iizs0,25,104,5,47,40
bi_jdyf0,34,109,4,29,39
bi_kbzo7,59,94,0,0,0
bi_khem3,26,109,6,48,39
bi_kxzm6,27,84,0,43,30
bi_nxqq4,56,105,4,47,36
bi_qjrz9,43,104,5,45,40
bi_rftj7,44,94,2,42,34
bi_sgmf1,46,115,4,47,40
bi_txmo8,51,87,0,28,38
bi_vpgq2,33,105,4,48,40
bi_wdfj3,31,103,3,43,40
bi_wetx1,49,119,3,49,40
bi_xcix4,50,100,0,45,31
bi_ycdf0,50,118,5,49,39
bi_zefa9,43,104,3,26,39